Car Make,model_NAME,YEAR ,price($),Mileage(km) ,colour/Color, fuel_Type,No. of Owners
NA,Camry,2007,34098 USD,unknown,blue,Gasoline,5
chevy,3 Series,2006,7695.0,NA,green,Gasoline,4th
BMW,silverado,05,#N/A,242357,SILVER,DIESEL,five
VW,Corolla,nineteen ninety five,,,?,Gas,
Volkswagen,F 150,22,"$15,947",,black,Unknown,5th
  volkswagen  ,f150,twenty twenty,,  154868.9 miles  ,green,Gas,
TOYOTA,camry,11,11287.0,"269,565",white,DIESEL,N/A
bmw,silverado,-,$20373,221187.0,BLUE,DIESEL,4th
volkswagen,NULL,1999 model,26890.0,155560,White,petrol,N/A
Volkswagen,Accord,,NA,164722.0,white,  DIESEL  ,NA
HONDA,F-150,1998.0,36k,37611.6 miles,Blue,null,N/A
ford,silverado,92,50393,305402KM,green,gasoline,  4 owners  
Chevrolet,Elantra,,negotiable,51873.8 miles,NA,  Hybrid  ,one
Honda,F 150,2006 model,N/A,null,-,hybrid,
Volkswagen,mustang,16,,unknown,black,,N/A
TOYOTA,mustang,NULL,89012.00,331843KM,unknown,electric,one
Volkswagen,Golf,,negotiable,,Blue,HYBRID,2nd
TOYOTA,mustang,null,"$37,614",$54857,null,,1.0
volkswagen,Sentra,2004,,,Black,null,N/A
Chevrolet,3series,2007 model,,132262,RED,N/A,1 owner
BMW,mustang,1996 model,77849.00,13462 km,black,Hybrid,
  chevy  ,Golf,,59080.0,92346.0,NULL,DIESEL,5.0
Honda,silverado,'90,n/a,62254.8 miles,RED,diesel,N/A
Ford,silverado,,27105.0,113447KM,gray,,5
BMW,camry,2006,64616 USD,59814,RED,Hybrid,four
bmw,Civic,nineteen ninety five,"$88,563",42565,BLUE,diesel,2.0
camry,TOYOTA,2000,  negotiable  ,311974KM,N/A,Electric,N/A
BMW,A4,'23,negotiable,231855 km,Black,Gas,5.0
volkswagen,Golf,,negotiable,$58476,Green,NA,5th
HONDA,Silverado,two thousand,,157220.6 miles,gray,diesel,
chevy,Accord,twenty ten,51441.00,unknown,Silver,  Diesel  ,2
ford,Corolla,,N/A,unknown,unknown,Hybrid,  1 owner  
Chevrolet,camry,twenty ten,48984 USD,"196,524",Grey,gasoline,two
nissan,Mustang,null,,,SILVER,plug-in hybrid,NULL
ford,F-150,1992,42k,,red,EV,N/A
B.M.W,3series,2013,negotiable,,Red,DIESEL,N/A
toyota,  camry  ,09,,60880.0,Blue,diesel,5 owners
chevy,silverado,,#N/A,208739 km,  Black  ,Diesel,-
ford,  silverado  ,null,N/A,35819.1 miles,,Petrol,
Toyota,camry,2020 model,negotiable,223490 km,,Gasoline,4
